"Method","tau","n","p","seed","K","beta0","beta1","time"
"mRock_kNN_bs_Neyman",0.9,10000,1,1,461,0.00911292788313145,-0.00686569400376369,83.219
"mRock_kNN_local_linear_Neyman",0.9,10000,1,1,461,0.00668680465333216,-0.0104270550224461,68.377
"mRock_kNN_global_linear_Neyman",0.9,10000,1,1,461,0.00922206902442757,-0.00689729772465908,69.901
"mRock_kNN_bs_Neyman",0.9,10000,1,1,921,0.00799524852684619,-0.00681126156989365,81.303
"mRock_kNN_local_linear_Neyman",0.9,10000,1,1,921,0.00648105031965973,-0.00823103753351129,63.083
"mRock_kNN_global_linear_Neyman",0.9,10000,1,1,921,0.00793661437745108,-0.00682696453581721,68.229
"two_step_Neyman",0.9,10000,1,1,NA,0.0103879754278364,-0.00862506834978793,0.0569999999999595
"two_step_LS",0.9,10000,1,1,NA,0.0125072403369195,-0.00967637687969169,0.01400000000001
"mRock_kNN_bs_Neyman",0.9,10000,1,10,461,-0.00744514708083233,0.00469618156466023,81.963
"mRock_kNN_local_linear_Neyman",0.9,10000,1,10,461,-0.00814278788461231,0.000139500283903971,67.93
"mRock_kNN_global_linear_Neyman",0.9,10000,1,10,461,-0.00755478597731707,0.00540959374768946,69.122
"mRock_kNN_bs_Neyman",0.9,10000,1,10,921,-0.00721788336264506,0.00426632889908429,79.394
"mRock_kNN_local_linear_Neyman",0.9,10000,1,10,921,-0.00779763781992759,0.00256538929888483,62.049
"mRock_kNN_global_linear_Neyman",0.9,10000,1,10,921,-0.00734265397619338,0.00501035487098678,67.057
"two_step_Neyman",0.9,10000,1,10,NA,0.00969802329497504,-0.00553075209046572,0.0579999999999927
"two_step_LS",0.9,10000,1,10,NA,0.00150326535085732,-0.00139348194126665,0.0130000000000337
"mRock_kNN_bs_Neyman",0.9,10000,1,100,461,-0.0126026859762147,-0.0015048140569478,76.853
"mRock_kNN_local_linear_Neyman",0.9,10000,1,100,461,-0.0144946681294629,-0.00426369138410942,64.208
"mRock_kNN_global_linear_Neyman",0.9,10000,1,100,461,-0.012734051085679,-0.00110306230668966,64.496
"mRock_kNN_bs_Neyman",0.9,10000,1,100,921,-0.0113290332584606,-0.0029818919794149,74.14
"mRock_kNN_local_linear_Neyman",0.9,10000,1,100,921,-0.0116236387651079,-0.00438191281673772,58.235
"mRock_kNN_global_linear_Neyman",0.9,10000,1,100,921,-0.011361891078628,-0.00270777461302441,62.138
"two_step_Neyman",0.9,10000,1,100,NA,-0.00650854468236495,-0.0053172808645976,0.047999999999945
"two_step_LS",0.9,10000,1,100,NA,-0.00822396746163778,-0.00445691442434359,0.0129999999999768
"mRock_kNN_bs_Neyman",0.9,10000,1,101,461,-0.00749303863196249,0.00628098573255098,77.185
"mRock_kNN_local_linear_Neyman",0.9,10000,1,101,461,-0.00890264780532823,0.00194168596292954,64.279
"mRock_kNN_global_linear_Neyman",0.9,10000,1,101,461,-0.00737870198059776,0.00637057910124073,64.753
"mRock_kNN_bs_Neyman",0.9,10000,1,101,921,-0.00861777315382684,0.00597436657878214,74.685
"mRock_kNN_local_linear_Neyman",0.9,10000,1,101,921,-0.00963426854592075,0.00356958241737981,58.396
"mRock_kNN_global_linear_Neyman",0.9,10000,1,101,921,-0.00872819210487275,0.00621272069785928,62.506
"two_step_Neyman",0.9,10000,1,101,NA,-0.0027459654111055,0.00165464307925189,0.0480000000000018
"two_step_LS",0.9,10000,1,101,NA,-0.0079114913901297,0.00412372797420302,0.0110000000000241
"mRock_kNN_bs_Neyman",0.9,10000,1,102,461,0.0129788816887608,-0.0043581088415019,76.698
"mRock_kNN_local_linear_Neyman",0.9,10000,1,102,461,0.00836567082229323,-0.00659830354563429,65.131
"mRock_kNN_global_linear_Neyman",0.9,10000,1,102,461,0.0128124080404768,-0.00413632175535472,65.471
"mRock_kNN_bs_Neyman",0.9,10000,1,102,921,0.013704876366823,-0.0064681183700861,74.461
"mRock_kNN_local_linear_Neyman",0.9,10000,1,102,921,0.0125278643509061,-0.0082671662916991,58.835
"mRock_kNN_global_linear_Neyman",0.9,10000,1,102,921,0.0137136536036719,-0.0061981966331639,62.91
"two_step_Neyman",0.9,10000,1,102,NA,0.0209100738215284,-0.0107329521543509,0.0480000000000018
"two_step_LS",0.9,10000,1,102,NA,0.0125709509962995,-0.00647679570864845,0.0159999999999627
"mRock_kNN_bs_Neyman",0.9,10000,1,103,461,0.00866778335103913,-0.00909777145554358,75.878
"mRock_kNN_local_linear_Neyman",0.9,10000,1,103,461,0.00723364255539494,-0.0125033145949502,63.5
"mRock_kNN_global_linear_Neyman",0.9,10000,1,103,461,0.00806710267029986,-0.00810126720484838,63.902
"mRock_kNN_bs_Neyman",0.9,10000,1,103,921,0.0103635107955382,-0.0105987592234218,74.537
"mRock_kNN_local_linear_Neyman",0.9,10000,1,103,921,0.00874619553974276,-0.0116819804373929,58.683
"mRock_kNN_global_linear_Neyman",0.9,10000,1,103,921,0.0102589932976618,-0.0102181667723049,62.286
"two_step_Neyman",0.9,10000,1,103,NA,-0.00183862365408904,-0.00462621822668963,0.0500000000000114
"two_step_LS",0.9,10000,1,103,NA,0.00360306962430612,-0.00725589190552967,0.0120000000000005
"mRock_kNN_bs_Neyman",0.9,10000,1,104,461,0.00699185141212522,-0.00674631866137476,80.379
"mRock_kNN_local_linear_Neyman",0.9,10000,1,104,461,0.00395396137873383,-0.0101969671792732,68.057
"mRock_kNN_global_linear_Neyman",0.9,10000,1,104,461,0.00692741778384387,-0.00660088522475943,67.686
"mRock_kNN_bs_Neyman",0.9,10000,1,104,921,0.00622002204046468,-0.00679084238593886,79.36
"mRock_kNN_local_linear_Neyman",0.9,10000,1,104,921,0.00460077502807321,-0.0086582699939779,63.01
"mRock_kNN_global_linear_Neyman",0.9,10000,1,104,921,0.0067069529826751,-0.00686192003096275,66.341
"two_step_Neyman",0.9,10000,1,104,NA,0.00857565576777808,-0.00880210620056943,0.0540000000000305
"two_step_LS",0.9,10000,1,104,NA,-0.000927455382599973,-0.00400560477646872,0.0120000000000005
"mRock_kNN_bs_Neyman",0.9,10000,1,105,461,0.0023813359939997,0.00112888753547002,78.703
"mRock_kNN_local_linear_Neyman",0.9,10000,1,105,461,-0.000562645537273365,-0.00185921717682769,69.655
"mRock_kNN_global_linear_Neyman",0.9,10000,1,105,461,0.00265582809411358,0.00116799321811456,66.602
"mRock_kNN_bs_Neyman",0.9,10000,1,105,921,0.0027229946436409,-0.000920723070471308,77.345
"mRock_kNN_local_linear_Neyman",0.9,10000,1,105,921,0.00235622148995751,-0.00267241052426392,61.64
"mRock_kNN_global_linear_Neyman",0.9,10000,1,105,921,0.00309273497507201,-0.000837597093644948,64.83
"two_step_Neyman",0.9,10000,1,105,NA,-0.000373019362375437,0.000781979239482755,0.0570000000000164
"two_step_LS",0.9,10000,1,105,NA,-0.00257802862204204,0.00183699734568288,0.0120000000000005
"mRock_kNN_bs_Neyman",0.9,10000,1,106,461,0.00659137539105781,0.00338266062999137,79.203
"mRock_kNN_local_linear_Neyman",0.9,10000,1,106,461,0.00530636279953933,-0.000190219115661083,67.395
"mRock_kNN_global_linear_Neyman",0.9,10000,1,106,461,0.00640356138764098,0.00392597958748908,66.76
"mRock_kNN_bs_Neyman",0.9,10000,1,106,921,0.00683804391499798,0.00233308888368589,77.345
"mRock_kNN_local_linear_Neyman",0.9,10000,1,106,921,0.00599319113851937,0.000849166920410482,61.481
"mRock_kNN_global_linear_Neyman",0.9,10000,1,106,921,0.00640913617859673,0.00309081578477821,65.012
"two_step_Neyman",0.9,10000,1,106,NA,0.0116027714955602,-0.000606012510265153,0.0550000000000068
"two_step_LS",0.9,10000,1,106,NA,0.00391977856501646,0.00340999112723894,0.0110000000000241
"mRock_kNN_bs_Neyman",0.9,10000,1,107,461,-0.00988066433448731,0.00324694396276115,78.717
"mRock_kNN_local_linear_Neyman",0.9,10000,1,107,461,-0.0100587998481467,-0.00123235793371235,67.304
"mRock_kNN_global_linear_Neyman",0.9,10000,1,107,461,-0.00976001517510228,0.0031890957116385,66.129
"mRock_kNN_bs_Neyman",0.9,10000,1,107,921,-0.0086389976795973,0.00288929178417119,76.629
"mRock_kNN_local_linear_Neyman",0.9,10000,1,107,921,-0.0076374188270929,-0.000241520090696667,61.677
"mRock_kNN_global_linear_Neyman",0.9,10000,1,107,921,-0.00861672197032481,0.00287194995094753,64.196
"two_step_Neyman",0.9,10000,1,107,NA,-0.018614220798745,0.00807387160529816,0.05600000000004
"two_step_LS",0.9,10000,1,107,NA,-0.0117998314969168,0.0047752179260736,0.0169999999999959
"mRock_kNN_bs_Neyman",0.9,10000,1,108,461,-0.00172106204285116,0.00156345149270676,82.559
"mRock_kNN_local_linear_Neyman",0.9,10000,1,108,461,-0.00328374971367551,-0.00169019294880046,69.352
"mRock_kNN_global_linear_Neyman",0.9,10000,1,108,461,-0.00169003788372457,0.00148449966975051,69.498
"mRock_kNN_bs_Neyman",0.9,10000,1,108,921,-0.000811929157254143,0.000495112764665517,81.197
"mRock_kNN_local_linear_Neyman",0.9,10000,1,108,921,-0.00100088687873212,-0.00127425778816326,63.725
"mRock_kNN_global_linear_Neyman",0.9,10000,1,108,921,-0.000741154751653594,0.000413882986855185,68.181
"two_step_Neyman",0.9,10000,1,108,NA,-0.0100845353238106,0.00544140214684452,0.0580000000000496
"two_step_LS",0.9,10000,1,108,NA,-0.00749059133270857,0.00416436207301585,0.0139999999999532
"mRock_kNN_bs_Neyman",0.9,10000,1,109,461,0.00270112873619444,-0.00790992895447351,82.399
"mRock_kNN_local_linear_Neyman",0.9,10000,1,109,461,1.39858606809096e-05,-0.00999539523222959,69.676
"mRock_kNN_global_linear_Neyman",0.9,10000,1,109,461,0.00266474797502214,-0.00783966459313268,70.279
"mRock_kNN_bs_Neyman",0.9,10000,1,109,921,0.00289138626005681,-0.00832515525765665,81.161
"mRock_kNN_local_linear_Neyman",0.9,10000,1,109,921,0.00241782413094382,-0.00965431200326883,64.152
"mRock_kNN_global_linear_Neyman",0.9,10000,1,109,921,0.00292866812070303,-0.00828647392573645,68.403
"two_step_Neyman",0.9,10000,1,109,NA,0.010451843486095,-0.0130907078979163,0.0559999999999832
"two_step_LS",0.9,10000,1,109,NA,0.0094480414062128,-0.0126830648997758,0.0130000000000337
"mRock_kNN_bs_Neyman",0.9,10000,1,11,461,-0.00726377445728854,0.011935963282852,82.427
"mRock_kNN_local_linear_Neyman",0.9,10000,1,11,461,-0.00940366483140043,0.00881546964567059,67.571
"mRock_kNN_global_linear_Neyman",0.9,10000,1,11,461,-0.00709522562627862,0.0117646804268547,69.17
"mRock_kNN_bs_Neyman",0.9,10000,1,11,921,-0.00871655747362521,0.0115354000580234,88.724
"mRock_kNN_local_linear_Neyman",0.9,10000,1,11,921,-0.00898281023424841,0.00968636461514549,62.643
"mRock_kNN_global_linear_Neyman",0.9,10000,1,11,921,-0.00875722400853718,0.0116302947297884,70.738
"two_step_Neyman",0.9,10000,1,11,NA,0.000101271542874981,0.00601625747021339,0.0620000000000118
"two_step_LS",0.9,10000,1,11,NA,-0.00471712123224388,0.00835950120771001,0.0149999999999864
"mRock_kNN_bs_Neyman",0.9,10000,1,110,461,0.0023921788061585,0.00145412366543818,82.871
"mRock_kNN_local_linear_Neyman",0.9,10000,1,110,461,0.000957108724287448,-0.00263968454820462,70.884
"mRock_kNN_global_linear_Neyman",0.9,10000,1,110,461,0.00209922719643996,0.00189431853084088,70.357
"mRock_kNN_bs_Neyman",0.9,10000,1,110,921,0.00329740030775239,-4.57951546373181e-05,81.22
"mRock_kNN_local_linear_Neyman",0.9,10000,1,110,921,0.00216737735917372,-0.00197635377575844,64.835
"mRock_kNN_global_linear_Neyman",0.9,10000,1,110,921,0.00331392433643107,0.00018188916371864,67.99
"two_step_Neyman",0.9,10000,1,110,NA,0.00257501299117857,-0.00063303830732897,0.0609999999999786
"two_step_LS",0.9,10000,1,110,NA,0.00865102488717673,-0.00367368380095456,0.01400000000001
"mRock_kNN_bs_Neyman",0.9,10000,1,111,461,0.00479807720336134,0.00417892154538801,76.155
"mRock_kNN_local_linear_Neyman",0.9,10000,1,111,461,0.000504733498870591,0.00209931763955096,63.383
"mRock_kNN_global_linear_Neyman",0.9,10000,1,111,461,0.00518426083468615,0.00418321125978061,64.564
"mRock_kNN_bs_Neyman",0.9,10000,1,111,921,0.00271553927066837,0.00414150462437846,75.056
"mRock_kNN_local_linear_Neyman",0.9,10000,1,111,921,2.72240600249773e-05,0.00349971233824053,58.915
"mRock_kNN_global_linear_Neyman",0.9,10000,1,111,921,0.00302858060361721,0.00415790332302812,63.685
"two_step_Neyman",0.9,10000,1,111,NA,0.00561764047160307,0.00192171523239759,0.0500000000000114
"two_step_LS",0.9,10000,1,111,NA,0.000243526674174266,0.00459776361999298,0.0109999999999673
"mRock_kNN_bs_Neyman",0.9,10000,1,112,461,-0.0109415847156091,0.0113022395586242,76.941
"mRock_kNN_local_linear_Neyman",0.9,10000,1,112,461,-0.0131362426958239,0.00898712370772659,64.314
"mRock_kNN_global_linear_Neyman",0.9,10000,1,112,461,-0.0101552363337709,0.0111486306678161,64.256
"mRock_kNN_bs_Neyman",0.9,10000,1,112,921,-0.0137342514512226,0.0124117359303479,74.581
"mRock_kNN_local_linear_Neyman",0.9,10000,1,112,921,-0.015566893283036,0.012182632899095,58.746
"mRock_kNN_global_linear_Neyman",0.9,10000,1,112,921,-0.0128686966449068,0.0122043349819871,62.148
"two_step_Neyman",0.9,10000,1,112,NA,-0.018550841723221,0.0149749804692734,0.0500000000000114
"two_step_LS",0.9,10000,1,112,NA,-0.0154644747663157,0.0134528583341491,0.0159999999999627
"mRock_kNN_bs_Neyman",0.9,10000,1,113,461,0.00285878145647889,0.00127623138460953,76.485
"mRock_kNN_local_linear_Neyman",0.9,10000,1,113,461,0.000815376994421912,-0.000867655996998895,63.405
"mRock_kNN_global_linear_Neyman",0.9,10000,1,113,461,0.00277066409877325,0.0013492324955986,64.473
"mRock_kNN_bs_Neyman",0.9,10000,1,113,921,0.00338375949632685,0.000440984072117345,75.091
"mRock_kNN_local_linear_Neyman",0.9,10000,1,113,921,0.00233612128177185,-0.000700030576008093,58.957
"mRock_kNN_global_linear_Neyman",0.9,10000,1,113,921,0.00346674421677862,0.000422057625728556,62.894
"two_step_Neyman",0.9,10000,1,113,NA,-0.00194299933759212,0.00303535009438516,0.0480000000000018
"two_step_LS",0.9,10000,1,113,NA,-0.00090676024644476,0.00249121022664101,0.0120000000000005
"mRock_kNN_bs_Neyman",0.9,10000,1,114,461,0.0032109620126739,-0.0108454196625747,82.26
"mRock_kNN_local_linear_Neyman",0.9,10000,1,114,461,0.00278835922423837,-0.015402488180603,68.613
"mRock_kNN_global_linear_Neyman",0.9,10000,1,114,461,0.00311283129473838,-0.01076147732722,69.802
"mRock_kNN_bs_Neyman",0.9,10000,1,114,921,0.00535803095266107,-0.0118057313810338,79.79
"mRock_kNN_local_linear_Neyman",0.9,10000,1,114,921,0.00585094377990458,-0.0146755383317467,61.91
"mRock_kNN_global_linear_Neyman",0.9,10000,1,114,921,0.00551928981973138,-0.0119442067444897,67.21
"two_step_Neyman",0.9,10000,1,114,NA,0.00592381433011946,-0.0131477924032,0.0559999999999832
"two_step_LS",0.9,10000,1,114,NA,0.00482252208918243,-0.0125707131867312,0.0129999999999768
"mRock_kNN_bs_Neyman",0.9,10000,1,115,461,0.0130772753264343,-0.0060842665799572,82.711
"mRock_kNN_local_linear_Neyman",0.9,10000,1,115,461,0.0132942780873315,-0.0100282270008978,68.281
"mRock_kNN_global_linear_Neyman",0.9,10000,1,115,461,0.0131226193554266,-0.00615431312479764,69.629
"mRock_kNN_bs_Neyman",0.9,10000,1,115,921,0.0146697596964855,-0.00719276579405825,81.294
"mRock_kNN_local_linear_Neyman",0.9,10000,1,115,921,0.0146075591198378,-0.00841305213717103,62.378
"mRock_kNN_global_linear_Neyman",0.9,10000,1,115,921,0.0146655809322782,-0.00718113340653792,67.886
"two_step_Neyman",0.9,10000,1,115,NA,0.0125546622186461,-0.00631440332610067,0.05600000000004
"two_step_LS",0.9,10000,1,115,NA,0.0130638754180634,-0.0066524428210295,0.0129999999999768
"mRock_kNN_bs_Neyman",0.9,10000,1,116,461,-0.00681811343462035,0.0107214846101287,76.498
"mRock_kNN_local_linear_Neyman",0.9,10000,1,116,461,-0.0117010551365242,0.00957702494764012,63.63
"mRock_kNN_global_linear_Neyman",0.9,10000,1,116,461,-0.00613020420514454,0.0107008094766674,63.839
"mRock_kNN_bs_Neyman",0.9,10000,1,116,921,-0.00754727853716597,0.0104473919126757,74.855
"mRock_kNN_local_linear_Neyman",0.9,10000,1,116,921,-0.0101976028958166,0.0101158555726006,59.227
"mRock_kNN_global_linear_Neyman",0.9,10000,1,116,921,-0.00713206597601057,0.0103957781789763,61.987
"two_step_Neyman",0.9,10000,1,116,NA,-0.0118558328812992,0.0120492059688786,0.0509999999999877
"two_step_LS",0.9,10000,1,116,NA,-0.0109763699186871,0.0116113726825398,0.0120000000000005
"mRock_kNN_bs_Neyman",0.9,10000,1,117,461,0.00343779957603974,-0.00149134783189453,77.525
"mRock_kNN_local_linear_Neyman",0.9,10000,1,117,461,0.00274988580066116,-0.00513225371038395,64.855
"mRock_kNN_global_linear_Neyman",0.9,10000,1,117,461,0.00342575289047042,-0.00124113180681151,64.815
"mRock_kNN_bs_Neyman",0.9,10000,1,117,921,0.00376917550589861,-0.00217911696065354,75.59
"mRock_kNN_local_linear_Neyman",0.9,10000,1,117,921,0.00269686663233304,-0.00294578833117454,59.529
"mRock_kNN_global_linear_Neyman",0.9,10000,1,117,921,0.0038806044615507,-0.00194756542315133,63.115
"two_step_Neyman",0.9,10000,1,117,NA,-0.00587730210981463,0.00226129715731282,0.0539999999999736
"two_step_LS",0.9,10000,1,117,NA,0.000699121707298023,-0.000971189330446709,0.0110000000000241
"mRock_kNN_bs_Neyman",0.9,10000,1,118,461,-0.0107676066212108,0.00751170132503987,77.204
"mRock_kNN_local_linear_Neyman",0.9,10000,1,118,461,-0.0119868298173549,0.0044889674865547,64.789
"mRock_kNN_global_linear_Neyman",0.9,10000,1,118,461,-0.0107732581087809,0.0078383669399491,65.432
"mRock_kNN_bs_Neyman",0.9,10000,1,118,921,-0.0120856055926306,0.00810836206183607,74.377
"mRock_kNN_local_linear_Neyman",0.9,10000,1,118,921,-0.0115701414830516,0.00651290838228036,58.715
"mRock_kNN_global_linear_Neyman",0.9,10000,1,118,921,-0.011996669286501,0.00849749925704124,62.421
"two_step_Neyman",0.9,10000,1,118,NA,-0.0165571428271971,0.00945012593772354,0.0480000000000018
"two_step_LS",0.9,10000,1,118,NA,-0.00856253553095843,0.00546220947993836,0.0120000000000005
"mRock_kNN_bs_Neyman",0.9,10000,1,119,461,0.0134727309920912,-0.0123658281698753,76.862
"mRock_kNN_local_linear_Neyman",0.9,10000,1,119,461,0.0141395032120017,-0.0175741340704256,65.017
"mRock_kNN_global_linear_Neyman",0.9,10000,1,119,461,0.0135592760459498,-0.0122568922268953,65.608
"mRock_kNN_bs_Neyman",0.9,10000,1,119,921,0.0125393228628843,-0.0122247861503539,74.696
"mRock_kNN_local_linear_Neyman",0.9,10000,1,119,921,0.0128202556695249,-0.0144939039393126,59.692
"mRock_kNN_global_linear_Neyman",0.9,10000,1,119,921,0.0127695449209555,-0.0121582325864162,63.493
"two_step_Neyman",0.9,10000,1,119,NA,0.020385256381718,-0.0170608781967987,0.0489999999999782
"two_step_LS",0.9,10000,1,119,NA,0.013831021301046,-0.0138355725215029,0.0110000000000241
"mRock_kNN_bs_Neyman",0.9,10000,1,12,461,-0.0114184067514442,0.00398450979598719,79.524
"mRock_kNN_local_linear_Neyman",0.9,10000,1,12,461,-0.0132020652279896,0.000372001471388828,66.544
"mRock_kNN_global_linear_Neyman",0.9,10000,1,12,461,-0.011859081723018,0.00414753996486583,66.966
"mRock_kNN_bs_Neyman",0.9,10000,1,12,921,-0.011313444789586,0.00337696018922884,78.827
"mRock_kNN_local_linear_Neyman",0.9,10000,1,12,921,-0.0118068477657589,0.00110021701203067,61.961
"mRock_kNN_global_linear_Neyman",0.9,10000,1,12,921,-0.0116989684843842,0.00354238634069359,66.144
"two_step_Neyman",0.9,10000,1,12,NA,-0.0119400659802522,0.00278085905654635,0.0600000000000023
"two_step_LS",0.9,10000,1,12,NA,-0.0144390946217261,0.00393020550921497,0.0120000000000005
"mRock_kNN_bs_Neyman",0.9,10000,1,120,461,0.00202289995017702,-0.00493278933217267,81.278
"mRock_kNN_local_linear_Neyman",0.9,10000,1,120,461,0.000388763690711391,-0.00975500948659658,68.598
"mRock_kNN_global_linear_Neyman",0.9,10000,1,120,461,0.00260938087021101,-0.00511282562701343,68.11
"mRock_kNN_bs_Neyman",0.9,10000,1,120,921,0.00130220499180189,-0.0052031330923672,79.658
"mRock_kNN_local_linear_Neyman",0.9,10000,1,120,921,0.000739213775028835,-0.00761342159167722,63.045
"mRock_kNN_global_linear_Neyman",0.9,10000,1,120,921,0.00185827822059048,-0.00547752512639077,66.416
"two_step_Neyman",0.9,10000,1,120,NA,0.00276018201721073,-0.00727340265694032,0.0559999999999832
"two_step_LS",0.9,10000,1,120,NA,0.00466463783795823,-0.0081597528271562,0.0129999999999768
"mRock_kNN_bs_Neyman",0.9,10000,1,121,461,0.0062015197739349,-0.00203788583334452,81.042
"mRock_kNN_local_linear_Neyman",0.9,10000,1,121,461,0.00374390221404952,-0.00519723475650968,69.078
"mRock_kNN_global_linear_Neyman",0.9,10000,1,121,461,0.00671559682130241,-0.00203940722935991,68.583
"mRock_kNN_bs_Neyman",0.9,10000,1,121,921,0.00421021825766466,-0.00136984460905198,79.396
